Key,English,Japanese
wrcUiHigashiInfoTitle,Sample Info Panel,サンプル情報パネル
wrcUiHigashiStatusHeader,[DECEA3]Status Sample / ステータスサンプル[-],[DECEA3]ステータスサンプル / Status Sample[-]
wrcUiHigashiGuideHeader,[DECEA3]Guide Sample / ガイドサンプル[-],[DECEA3]ガイドサンプル / Guide Sample[-]
wrcUiHigashiOpsHeader,[DECEA3]Notes Sample / ノートサンプル[-],[DECEA3]ノートサンプル / Notes Sample[-]
wrcUiHigashiPage1,Page 1 / 3,1 / 3 ページ
wrcUiHigashiPage2,Page 2 / 3,2 / 3 ページ
wrcUiHigashiPage3,Page 3 / 3,3 / 3 ページ
wrcUiHigashiStatusBody,[DECEA3]Status Sample[-]\n- Edit this text to show status information.\n\n[DECEA3]Example[-]\n- Player level / Progress / Active events,[DECEA3]ステータスサンプル[-]\n- この枠にステータス情報を記述します。\n\n[DECEA3]例[-]\n- プレイヤーレベル・進行状況・イベント参加状況など
wrcUiHigashiGuideBody,[DECEA3]Guide Sample[-]\n- Edit this text for event rules or how-to guide.\n\n[DECEA3]How to Use[-]\n1. Update text keys in Localization.txt\n2. Place xui.xml and windows.xml in your mod folder\n3. Restart the game and open ESC menu,[DECEA3]ガイドサンプル[-]\n- この枠にイベントルールや使い方を記述します。\n\n[DECEA3]使い方[-]\n1. Localization.txt の text key を編集\n2. xui.xml と windows.xml を Mod に配置\n3. ゲーム再起動後、ESC メニューで確認
wrcUiHigashiOpsBody,[DECEA3]Notes Sample[-]\n- Edit this text for commands or operational notes.\n\n[DECEA3]Example[-]\n- Useful commands / Support info / Event rules,[DECEA3]ノートサンプル[-]\n- この枠にコマンドや運用メモを記述します。\n\n[DECEA3]例[-]\n- よく使うコマンド・サポート情報・イベントルールなど
